CustomerID,LookalikeID,SimilarityScore
C0001,C0107,0.9994150078463732
C0001,C0137,0.9988368640690619
C0001,C0011,0.9982639024867083
C0002,C0142,0.9967519246554694
C0002,C0106,0.9925220868201557
C0002,C0186,0.9922007021015101
C0003,C0129,0.9901914346281908
C0003,C0120,0.9881503280450274
C0003,C0133,0.98672625213554
C0004,C0113,0.9989099118818808
C0004,C0012,0.9967679878489062
C0004,C0102,0.9962080133338832
C0005,C0186,0.9982601452496408
C0005,C0159,0.9967776344360318
C0005,C0178,0.995298428899012
C0006,C0171,0.9964574226921914
C0006,C0168,0.9957606126631432
C0006,C0096,0.993763037614681
C0007,C0115,0.9953427016562342
C0007,C0159,0.9951647858494674
C0007,C0193,0.9944541287979376
C0008,C0098,0.9916963326767946
C0008,C0139,0.9902834454040044
C0008,C0049,0.9839177557958774
C0009,C0119,0.9802671287317637
C0009,C0198,0.9751651696039607
C0009,C0103,0.9625658613917862
C0010,C0111,0.9964269570462372
C0010,C0062,0.990848193046882
C0010,C0166,0.9907824906963619
C0011,C0107,0.9989801383598134
C0011,C0048,0.9986987408536648
C0011,C0001,0.9982639024867083
C0012,C0155,0.997927515942082
C0012,C0013,0.997001538176369
C0012,C0102,0.996996105271982
C0013,C0155,0.9985139600376836
C0013,C0099,0.9978468532550854
C0013,C0104,0.9977733923801102
C0014,C0060,0.9838543164404385
C0014,C0198,0.9758702986651949
C0014,C0121,0.9594242695415822
C0015,C0131,0.9910208937004851
C0015,C0042,0.983876391778549
C0015,C0036,0.9817609047444227
C0016,C0183,0.9953538522769771
C0016,C0067,0.9924791234656849
C0016,C0154,0.9914653969739006
C0017,C0124,0.9972939874349827
C0017,C0075,0.9950572708273661
C0017,C0179,0.9899044844261733
C0018,C0026,0.9924284508618054
C0018,C0117,0.9912579520106025
C0018,C0079,0.9895502179363497
C0019,C0172,0.9989427490056224
C0019,C0127,0.9910372226464221
C0019,C0103,0.9851005610926812
C0020,C0050,0.9747219145010971
C0020,C0185,0.9743864699544531
C0020,C0036,0.9708461710460569
